Zeit,Wert
10:37:20,0.872
10:37:28,0.869
10:37:36,0.865
10:37:44,0.872
10:37:52,0.875
10:38:00,0.877
10:38:09,0.875
10:38:17,0.872
10:38:25,0.868
10:38:33,0.864
10:38:41,0.869
10:38:49,0.875
10:38:57,0.876
10:39:05,0.872
10:39:13,0.864
10:39:22,0.868
10:39:30,0.872
10:39:38,0.872
10:39:46,0.867
10:39:54,0.858
10:40:02,0.858
10:40:10,0.856
10:40:18,0.859
10:40:26,0.862
10:40:35,0.864
10:40:43,0.878
10:40:51,0.886
10:40:59,0.876
10:41:07,0.871
10:41:15,0.871
10:41:23,0.87
10:41:31,0.878
10:41:39,0.879
10:41:47,0.881
10:41:56,0.882
10:42:04,0.876
10:42:12,0.883
10:42:20,0.882
10:42:28,0.885
10:42:36,0.891
10:42:44,0.897
10:42:52,0.901
10:43:00,0.909
10:43:09,0.913
10:43:17,0.903
10:43:25,0.898
10:43:33,0.893
10:43:41,0.889
10:43:49,0.888
10:43:57,0.885
10:44:05,0.877
10:44:13,0.88
10:44:21,0.88
10:44:29,0.872
10:44:38,0.876
10:44:46,0.879
10:44:54,0.88
10:45:02,0.874
10:45:10,0.878
10:45:18,0.871
10:45:26,0.879
10:45:34,0.887
10:45:42,0.884
10:45:51,0.877
10:45:59,0.877
10:46:07,0.873
10:46:15,0.867
10:46:23,0.873
10:46:31,0.874
10:46:39,0.874
10:46:47,0.882
10:46:55,0.89
10:47:04,0.889
10:47:12,0.877
10:47:20,0.879
10:47:28,0.879
10:47:36,0.878
10:47:44,0.879
10:47:52,0.883
10:48:00,0.883
10:48:08,0.886
10:48:17,0.886
10:48:25,0.878
10:48:33,0.872
10:48:41,0.873
10:48:49,0.881
10:48:57,0.873
10:49:05,0.872
10:49:13,0.877
10:49:21,0.867
10:49:29,0.875
10:49:38,0.871
10:49:46,0.871
10:49:54,0.865
10:50:02,0.873
10:50:10,0.87
10:50:18,0.859
10:50:26,0.857
10:50:34,0.855
10:50:43,0.855
10:50:51,0.859
10:50:59,0.865
10:51:07,0.862
10:51:15,0.863
10:51:23,0.866
10:51:31,0.867
10:51:39,0.871
10:51:47,0.869
10:51:55,0.879
10:52:03,0.881
10:52:12,0.879
10:52:20,0.884
10:52:28,0.892
10:52:36,0.898
10:52:44,0.902
10:52:52,0.902
10:53:00,0.908
10:53:08,0.902
10:53:17,0.896
10:53:25,0.9
10:53:33,0.901
10:53:41,0.91
10:53:49,0.912
10:53:57,0.91
10:54:05,0.908
10:54:13,0.906
10:54:21,0.907
10:54:30,0.907
10:54:38,0.912
10:54:46,0.91
10:54:54,0.904
10:55:02,0.905
10:55:10,0.9
10:55:18,0.9
10:55:26,0.902
10:55:34,0.908
10:55:43,0.911
10:55:51,0.916
10:55:59,0.911
10:56:07,0.907
10:56:15,0.907
10:56:23,0.909
10:56:31,0.903
10:56:39,0.9
10:56:47,0.901
10:56:56,0.905
10:57:04,0.896
10:57:12,0.896
10:57:20,0.893
10:57:28,0.889
10:57:36,0.891
10:57:44,0.893
10:57:52,0.885
10:58:01,0.884
10:58:09,0.889
10:58:17,0.875
10:58:25,0.876
10:58:33,0.873
10:58:41,0.873
10:58:49,0.872
10:58:57,0.871
10:59:06,0.869
10:59:14,0.864
10:59:22,0.864
10:59:30,0.859
10:59:38,0.862
10:59:46,0.86
10:59:54,0.855
11:00:02,0.863
11:00:11,0.857
11:00:19,0.852
11:00:27,0.851
11:00:35,0.848
11:00:43,0.849
11:00:51,0.855
11:00:59,0.859
11:01:07,0.857
11:01:16,0.857
11:01:24,0.853
11:01:32,0.861
11:01:40,0.857
11:01:48,0.863
11:01:56,0.864
11:02:04,0.857
11:02:12,0.854
11:02:21,0.849
11:02:29,0.85
11:02:37,0.853
11:02:45,0.86
11:02:53,0.852
11:03:01,0.849
11:03:09,0.849
11:03:17,0.839
11:03:26,0.837
11:03:34,0.838
11:03:42,0.832
11:03:50,0.83
11:03:58,0.838
11:04:06,0.838
11:04:14,0.833
11:04:22,0.829
11:04:30,0.827
11:04:39,0.82
11:04:47,0.82
11:04:55,0.82
11:05:03,0.817
11:05:11,0.824
11:05:19,0.823
11:05:27,0.822
11:05:36,0.817
11:05:44,0.817
11:05:52,0.822
11:06:00,0.82
11:06:08,0.807
11:06:16,0.816
11:06:24,0.807
11:06:32,0.807
11:06:41,0.811
11:06:49,0.817
11:06:57,0.822
11:07:05,0.82
11:07:13,0.806
11:07:21,0.804
11:07:29,0.805
11:07:37,0.81
11:07:45,0.817
11:07:54,0.821
11:08:02,0.822
11:08:10,0.82
11:08:18,0.826
11:08:26,0.826
11:08:34,0.821
11:08:42,0.822
11:08:50,0.821
11:08:59,0.821
11:09:07,0.82
11:09:15,0.819
11:09:23,0.827
11:09:31,0.834
11:09:39,0.832
11:09:47,0.83
11:09:55,0.822
11:10:04,0.825
11:10:12,0.821
11:10:20,0.817
11:10:28,0.814
11:10:36,0.811
11:10:44,0.806
11:10:52,0.801
11:11:00,0.8
11:11:08,0.8
11:11:17,0.8
11:11:25,0.8
11:11:33,0.807
11:11:41,0.813
11:11:49,0.811
11:11:57,0.809
11:12:06,0.811
11:12:14,0.813
11:12:22,0.822
11:12:30,0.827
11:12:38,0.831
11:12:46,0.831
11:12:54,0.83
11:13:03,0.828
11:13:11,0.837
11:13:19,0.831
11:13:27,0.835
11:13:35,0.834
11:13:43,0.836
11:13:51,0.829
11:13:59,0.83
11:14:08,0.836
11:14:16,0.839
11:14:24,0.831
11:14:32,0.826
11:14:40,0.826
11:14:48,0.82
11:14:56,0.818
11:15:05,0.82
11:15:13,0.816
11:15:21,0.819
11:15:29,0.825
11:15:37,0.825
11:15:45,0.824
11:15:53,0.827
11:16:01,0.817
11:16:10,0.814
11:16:18,0.825
11:16:26,0.817
11:16:34,0.817
11:16:42,0.819
11:16:50,0.822
11:16:58,0.82
11:17:06,0.819
11:17:15,0.825
11:17:23,0.828
11:17:31,0.831
11:17:39,0.837
11:17:47,0.84
11:17:55,0.842
11:18:03,0.848
11:18:11,0.854
11:18:20,0.851
11:18:28,0.853
11:18:36,0.852
11:18:44,0.851
11:18:52,0.861
11:19:00,0.86
11:19:08,0.856
11:19:17,0.855
11:19:25,0.856
11:19:33,0.858
11:19:41,0.863
11:19:49,0.864
11:19:57,0.867
11:20:05,0.862
11:20:14,0.859
11:20:22,0.855
11:20:30,0.867
11:20:38,0.872
11:20:46,0.873
11:20:54,0.868
11:21:02,0.864
11:21:10,0.863
11:21:19,0.869
11:21:27,0.875
11:21:35,0.868
11:21:43,0.873
11:21:51,0.878
11:21:59,0.882
11:22:07,0.877
11:22:16,0.876
11:22:24,0.869
11:22:32,0.87
11:22:40,0.868
11:22:48,0.875
11:22:56,0.868
17:21:06,0.867
17:21:14,0.86
17:21:22,0.858
17:21:31,0.861
17:21:39,0.858
17:21:47,0.868
17:21:55,0.875
17:22:03,0.874
17:22:11,0.876
17:22:19,0.88
17:22:27,0.873
17:22:35,0.883
17:22:43,0.882
17:22:52,0.884
17:23:00,0.892
17:23:08,0.882
17:23:16,0.886
17:23:24,0.889
17:23:32,0.886
17:23:40,0.89
17:23:48,0.888
17:23:57,0.89
17:24:05,0.893
17:24:13,0.888
17:24:21,0.889
17:24:29,0.884
17:24:37,0.883
17:24:45,0.883
17:24:53,0.873
17:25:02,0.866
17:25:10,0.863
17:25:18,0.862
17:25:26,0.859
17:25:34,0.851
17:25:42,0.851
17:25:50,0.851
17:25:58,0.856
17:26:07,0.852
17:26:15,0.858
17:26:23,0.863
17:26:31,0.867
17:26:39,0.87
17:26:47,0.875
17:26:55,0.876
17:27:04,0.875
17:27:12,0.87
17:27:20,0.869
17:27:28,0.87
17:27:36,0.864
17:27:45,0.874
17:27:53,0.876
17:28:01,0.885
17:28:09,0.884
17:28:17,0.884
17:28:25,0.881
17:28:34,0.879
17:28:42,0.881
17:28:50,0.882
17:28:58,0.878
17:29:06,0.873
17:29:14,0.87
17:29:23,0.869
17:29:31,0.87
17:29:39,0.868
17:29:47,0.863
17:29:55,0.854
17:30:03,0.852
17:30:12,0.848
17:30:20,0.852
17:30:28,0.854
17:30:36,0.853
17:30:44,0.853
17:30:52,0.855
17:31:01,0.851
17:31:09,0.859
17:31:17,0.865
17:31:25,0.871
17:31:33,0.878
17:31:41,0.885
17:31:50,0.891
17:31:58,0.884
17:32:06,0.891
17:32:14,0.884
17:32:22,0.888
17:32:30,0.889
17:32:38,0.887
17:32:46,0.887
17:32:55,0.881
17:33:03,0.874
17:33:11,0.872
17:33:19,0.883
17:33:27,0.878
17:33:35,0.882
17:33:44,0.876
17:33:52,0.877
17:34:00,0.885
17:34:08,0.878
17:34:16,0.881
17:34:24,0.879
17:34:33,0.876
17:34:41,0.884
17:34:49,0.879
17:34:57,0.88
17:35:05,0.889
17:35:13,0.886
17:35:22,0.891
17:35:30,0.886
17:35:38,0.883
17:35:46,0.878
17:35:54,0.883
17:36:02,0.88
17:36:10,0.877
17:36:19,0.873
17:36:27,0.872
17:36:35,0.869
17:36:43,0.874
17:36:51,0.874
17:36:59,0.862
17:37:08,0.873
17:37:16,0.874
17:37:24,0.878
17:37:32,0.888
17:37:40,0.894
17:37:48,0.891
17:37:57,0.897
17:38:05,0.901
17:38:13,0.905
17:38:21,0.905
17:38:29,0.899
17:38:37,0.892
17:38:46,0.892
17:38:54,0.885
17:39:02,0.887
17:39:10,0.892
17:39:18,0.894
17:39:26,0.891
17:39:34,0.892
17:39:43,0.892
17:39:51,0.899
17:39:59,0.895
17:40:07,0.894
17:40:15,0.897
17:40:23,0.895
17:40:32,0.895
17:40:40,0.889
17:40:48,0.887
17:40:56,0.884
17:41:04,0.891
17:41:12,0.897
17:41:21,0.9
17:41:29,0.898
17:41:37,0.897
17:41:45,0.893
17:41:53,0.9
17:42:01,0.901
17:42:09,0.909
17:42:18,0.903
17:42:26,0.9
17:42:34,0.901
17:42:42,0.908
17:42:50,0.903
17:42:58,0.899
17:43:06,0.891
17:43:14,0.889
17:43:22,0.887
17:43:30,0.893
17:43:39,0.9
17:43:47,0.905
17:43:55,0.906
17:44:03,0.901
17:44:11,0.902
17:44:19,0.904
17:44:27,0.901
17:44:35,0.909
17:44:43,0.908
17:44:52,0.904
17:45:00,0.898
17:45:08,0.9
17:45:16,0.902
17:45:24,0.892
