Zeit,Wert
10:37:20,0.949
10:37:28,0.947
10:37:36,0.946
10:37:44,0.942
10:37:52,0.939
10:38:00,0.937
10:38:09,0.937
10:38:17,0.936
10:38:25,0.944
10:38:33,0.949
10:38:41,0.952
10:38:49,0.947
10:38:57,0.942
10:39:05,0.947
10:39:14,0.95
10:39:22,0.953
10:39:30,0.955
10:39:38,0.951
10:39:46,0.951
10:39:54,0.944
10:40:02,0.947
10:40:10,0.95
10:40:18,0.951
10:40:27,0.952
10:40:35,0.949
10:40:43,0.943
10:40:51,0.951
10:40:59,0.955
10:41:07,0.956
10:41:15,0.962
10:41:23,0.963
10:41:31,0.962
10:41:39,0.957
10:41:47,0.959
10:41:56,0.955
10:42:04,0.948
10:42:12,0.944
10:42:20,0.941
10:42:28,0.945
10:42:36,0.95
10:42:44,0.952
10:42:52,0.965
10:43:00,0.979
10:43:09,0.981
10:43:17,0.987
10:43:25,0.991
10:43:33,0.985
10:43:41,0.996
10:43:49,1.0
10:43:57,0.994
10:44:05,0.993
10:44:13,0.994
10:44:21,0.99
10:44:30,0.99
10:44:38,0.988
10:44:46,0.987
10:44:54,0.995
10:45:02,0.984
10:45:10,0.989
10:45:18,0.999
10:45:26,0.997
10:45:34,0.992
10:45:42,0.995
10:45:51,0.988
10:45:59,0.989
10:46:07,0.992
10:46:15,0.993
10:46:23,0.995
10:46:31,1.0
10:46:39,1.0
10:46:47,0.999
10:46:55,0.998
10:47:04,1.0
10:47:12,0.994
10:47:20,0.996
10:47:28,0.997
10:47:36,0.991
10:47:44,0.983
10:47:52,0.985
10:48:00,0.988
10:48:08,0.984
10:48:17,0.981
10:48:25,0.982
10:48:33,0.983
10:48:41,0.984
10:48:49,0.984
10:48:57,0.985
10:49:05,0.979
10:49:13,0.981
10:49:21,0.976
10:49:30,0.976
10:49:38,0.977
10:49:46,0.974
10:49:54,0.978
10:50:02,0.98
10:50:10,0.971
10:50:18,0.965
10:50:26,0.97
10:50:34,0.971
10:50:43,0.962
10:50:51,0.968
10:50:59,0.965
10:51:07,0.967
10:51:15,0.975
10:51:23,0.976
10:51:31,0.983
10:51:39,0.978
10:51:47,0.979
10:51:55,0.976
10:52:04,0.975
10:52:12,0.979
10:52:20,0.979
10:52:28,0.98
10:52:36,0.977
10:52:44,0.977
10:52:52,0.973
10:53:00,0.97
10:53:08,0.967
10:53:17,0.97
10:53:25,0.965
10:53:33,0.966
10:53:41,0.959
10:53:49,0.961
10:53:57,0.963
10:54:05,0.964
10:54:13,0.967
10:54:21,0.965
10:54:30,0.956
10:54:38,0.945
10:54:46,0.949
10:54:54,0.941
10:55:02,0.93
10:55:10,0.93
10:55:18,0.935
10:55:26,0.936
10:55:35,0.924
10:55:43,0.925
10:55:51,0.922
10:55:59,0.927
10:56:07,0.924
10:56:15,0.923
10:56:23,0.922
10:56:31,0.911
10:56:39,0.914
10:56:48,0.911
10:56:56,0.908
10:57:04,0.912
10:57:12,0.913
10:57:20,0.915
10:57:28,0.908
10:57:36,0.908
10:57:44,0.915
10:57:53,0.916
10:58:01,0.92
10:58:09,0.922
10:58:17,0.92
10:58:25,0.916
10:58:33,0.905
10:58:41,0.921
10:58:49,0.929
10:58:57,0.934
10:59:06,0.928
10:59:14,0.925
10:59:22,0.928
10:59:30,0.941
10:59:38,0.929
10:59:46,0.937
10:59:54,0.936
11:00:03,0.938
11:00:11,0.93
11:00:19,0.933
11:00:27,0.934
11:00:35,0.926
11:00:43,0.924
11:00:51,0.925
11:00:59,0.924
11:01:08,0.928
11:01:16,0.931
11:01:24,0.926
11:01:32,0.928
11:01:40,0.929
11:01:48,0.925
11:01:56,0.915
11:02:04,0.924
11:02:13,0.929
11:02:21,0.931
11:02:29,0.929
11:02:37,0.932
11:02:45,0.93
11:02:53,0.926
11:03:01,0.932
11:03:09,0.933
11:03:17,0.931
11:03:26,0.923
11:03:34,0.925
11:03:42,0.927
11:03:50,0.926
11:03:58,0.928
11:04:06,0.925
11:04:14,0.919
11:04:22,0.922
11:04:31,0.924
11:04:39,0.917
11:04:47,0.917
11:04:55,0.922
11:05:03,0.916
11:05:11,0.917
11:05:19,0.917
11:05:27,0.916
11:05:36,0.913
11:05:44,0.915
11:05:52,0.911
11:06:00,0.913
11:06:08,0.908
11:06:16,0.913
11:06:24,0.915
11:06:32,0.927
11:06:41,0.932
11:06:49,0.939
11:06:57,0.943
11:07:05,0.947
11:07:13,0.948
11:07:21,0.951
11:07:29,0.956
11:07:37,0.952
11:07:46,0.959
11:07:54,0.954
11:08:02,0.965
11:08:10,0.972
11:08:18,0.979
11:08:26,0.982
11:08:34,0.98
11:08:42,0.981
11:08:51,0.984
11:08:59,0.979
11:09:07,0.983
11:09:15,0.98
11:09:23,0.982
11:09:31,0.983
11:09:39,0.985
11:09:47,0.995
11:09:56,0.99
11:10:04,0.991
11:10:12,0.995
11:10:20,1.0
11:10:28,0.995
11:10:36,0.995
11:10:44,0.99
11:10:52,0.99
11:11:00,0.989
11:11:09,0.996
11:11:17,0.992
11:11:25,0.999
11:11:33,0.993
11:11:41,0.998
11:11:49,0.995
11:11:58,1.0
11:12:06,0.993
11:12:14,0.995
11:12:22,0.992
11:12:30,0.996
11:12:38,1.0
11:12:46,0.999
11:12:54,1.0
11:13:03,0.989
11:13:11,1.0
11:13:19,0.996
11:13:27,0.997
11:13:35,1.0
11:13:43,1.0
11:13:51,0.997
11:14:00,0.993
11:14:08,0.991
11:14:16,0.993
11:14:24,0.993
11:14:32,0.991
11:14:40,0.988
11:14:48,0.989
11:14:56,0.99
11:15:05,0.994
11:15:13,0.997
11:15:21,0.995
11:15:29,0.996
11:15:37,0.985
11:15:45,0.981
11:15:53,0.98
